id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly,kelly/4 365, bet ,99/pinn implied,kelly/4 99, bet99/pinn ,W/L:, del$ ,,bankroll,2161.23%,FACTOR:,wagered:, $-   
7046,Luke Evangelista,2024-11-20,Under,1.5,48.31%,35.84%,38.32%,39.02%,38.65%,-4.83%,,,,,,,,,,,,,
7047,Matty Beniers,2024-11-20,Over,1.5,57.47%,59.23%,53.32%,55.68%,55.15%,-2.44%,,,,,,,,,,,,,
7048,Matty Beniers,2024-11-20,Under,1.5,48.54%,40.77%,46.68%,44.32%,44.85%,-0.91%,,,,,,,,,,,,,
7049,Oliver Bjorkstrand,2024-11-20,Over,2.5,48.78%,46.87%,42.34%,39.78%,37.86%,-3.14%,,,,,,,,,,,,,
7050,Oliver Bjorkstrand,2024-11-20,Under,2.5,57.14%,53.13%,57.66%,60.22%,62.14%,0.30%,,,,,,,,,,,,,
7051,Roman Josi,2024-11-20,Over,2.5,62.50%,70.27%,67.30%,71.43%,70.81%,3.20%,,,,,,,,,,,,,
7052,Roman Josi,2024-11-20,Under,2.5,42.92%,29.73%,32.70%,28.57%,29.19%,-4.48%,,,,,,,,,,,,,
7053,Ryan O'Reilly,2024-11-20,Over,1.5,58.82%,62.07%,58.76%,55.84%,56.69%,-0.04%,,,,,,,,,,,,,
7054,Ryan O'Reilly,2024-11-20,Under,1.5,46.95%,37.93%,41.24%,44.16%,43.31%,-2.69%,,,,,,,,,,,,,
7055,Steven Stamkos,2024-11-20,Over,2.5,55.56%,61.07%,58.69%,55.87%,54.58%,1.76%,,,,,,,,,,,,,
7056,Steven Stamkos,2024-11-20,Under,2.5,50.76%,38.93%,41.31%,44.13%,45.42%,-4.80%,,,,,,,,,,,,,
7057,Adrian Kempe,2024-11-20,Over,3.5,41.67%,42.04%,38.16%,34.83%,34.65%,-1.50%,,,,,,,,,,,,,
7058,Adrian Kempe,2024-11-20,Under,3.5,64.52%,57.96%,61.84%,65.17%,65.35%,-1.89%,,,,,,,,,,,,,
7059,Alex Laferriere,2024-11-20,Over,2.5,48.78%,36.32%,33.08%,30.00%,31.44%,-7.66%,,,,,,,,,,,,,
7060,Alex Laferriere,2024-11-20,Under,2.5,57.47%,63.68%,66.92%,70.00%,68.56%,5.55%,,,,,,,,,,,,,
7061,Dylan Cozens,2024-11-20,Over,2.5,44.25%,45.26%,39.88%,44.94%,45.21%,-1.96%,,,,,,,,,,,,,
7062,Dylan Cozens,2024-11-20,Under,2.5,61.73%,54.74%,60.12%,55.06%,54.79%,-1.05%,,,,,,,,,,,,,
7063,JJ Peterka,2024-11-20,Over,2.5,57.47%,39.80%,34.00%,37.71%,43.81%,-13.80%,,,,,,,,,,,,,
7064,JJ Peterka,2024-11-20,Under,2.5,47.39%,60.20%,66.00%,62.29%,56.19%,8.84%,,,,,,,,,,,,,
7065,Kevin Fiala,2024-11-20,Over,2.5,56.50%,58.38%,54.48%,54.44%,52.86%,-1.16%,,,,,,,,,,,,,
7066,Kevin Fiala,2024-11-20,Under,2.5,49.50%,41.62%,45.52%,45.56%,47.14%,-1.97%,,,,,,,,,,,,,
7067,Phillip Danault,2024-11-20,Over,1.5,59.52%,62.07%,57.25%,57.54%,58.36%,-1.40%,,,,,,,,,,,,,
7068,Phillip Danault,2024-11-20,Under,1.5,45.87%,37.93%,42.75%,42.46%,41.64%,-1.44%,,,,,,,,,,,,,
7069,Quinton Byfield,2024-11-20,Over,1.5,64.52%,60.86%,56.67%,53.29%,56.07%,-5.53%,,,,,,,,,,,,,
7070,Quinton Byfield,2024-11-20,Under,1.5,41.32%,39.14%,43.33%,46.71%,43.93%,0.86%,,,,,,,,,,,,,
7071,Rasmus Dahlin,2024-11-20,Over,2.5,53.48%,49.91%,45.52%,53.11%,55.59%,-4.28%,,,,,,,,,,,,,
7072,Rasmus Dahlin,2024-11-20,Under,2.5,52.36%,50.09%,54.48%,46.89%,44.41%,1.12%,,,,,,,,,,,,,
7073,Trevor Moore,2024-11-20,Over,2.5,55.56%,57.97%,54.12%,53.13%,52.07%,-0.81%,,,,,,,,,,,,,
7074,Trevor Moore,2024-11-20,Under,2.5,50.76%,42.03%,45.88%,46.88%,47.93%,-2.48%,,,,,,,,,,,,,
7075,Warren Foegele,2024-11-20,Over,2.5,44.25%,44.68%,39.80%,32.74%,32.21%,-1.99%,,,,,,,,,,,,,
7076,Warren Foegele,2024-11-20,Under,2.5,61.73%,55.32%,60.20%,67.26%,67.79%,-1.00%,,,,,,,,,,,,,
7077,Jason Zucker,2024-11-20,Over,1.5,61.73%,58.20%,53.76%,66.67%,63.93%,-5.21%,,,,,,,,,,,,,
7078,Jason Zucker,2024-11-20,Under,1.5,44.64%,41.80%,46.24%,33.33%,36.07%,0.72%,,,,,,,,,,,,,
